,Store#,County,City,County#,Total_Sales_2016_Q1,Sales_Mean_2016_Q1,Total_Liters_2016_Q1,Avg_PPL_2016_Q1,Zip_Code,Avg_Liters_2016_Q1,Avg_Margin_2016_Q1,Predicted 2016 TotalSales
685,4489,Linn,CEDAR RAPIDS,57.0,7108.55,134.123584906,499.25,9.41981132075,52405,17.3810444744,3.87320754717,29097.9848467
686,4490,Linn,CEDAR RAPIDS,57.0,18266.09,55.5200303951,1250.88,3.8020668693,52404,19.2782269504,3.29580547112,67330.4984331
687,4491,Linn,CEDAR RAPIDS,57.0,10032.04,89.5717857143,686.7,6.13125,52403,17.5402423469,3.43008928571,35126.038001
688,4492,Linn,CEDAR RAPIDS,57.0,8290.27,106.285512821,612.09,7.84730769231,52404,16.072967033,3.88230769231,33429.3423715
689,4493,Linn,CEDAR RAPIDS,57.0,9673.38,119.424444444,657.74,8.12024691358,52404,17.2741563786,4.24518518519,43276.2191985
690,4495,Grundy,GRUNDY CENTER,38.0,18044.86,51.4098575499,1563.49,4.45438746439,50638,14.1909903677,3.6707977208,70716.7588789
691,4496,Linn,CEDAR RAPIDS,57.0,17763.73,69.1195719844,1119.73,4.35692607004,52402,21.1841245136,3.29124513619,65427.324872
692,4497,Hardin,ALDEN,42.0,1725.54,246.505714286,112.5,16.0714285714,50006,17.49,3.93857142857,10263.877066
693,4498,Buchanan,WINTHROP,10.0,4005.39,71.5248214286,298.05,5.32232142857,50682,15.6173639456,4.30357142857,18633.8057674
694,4499,Dickinson,MILFORD,30.0,5231.92,116.264888889,335.85,7.46333333333,51351,16.6062407407,3.94777777778,21035.4560355
695,4500,Johnson,NORTH LIBERTY,52.0,10468.26,81.1493023256,735.16,5.69891472868,52317,17.483802141,3.7884496124,40589.6198962
696,4501,Jefferson,FAIRFIELD,51.0,8441.35,71.5368644068,708.15,6.00127118644,52556,17.8234422922,3.56330508475,29772.9444702
697,4502,Black Hawk,WATERLOO,7.0,26570.97,74.8478028169,1889.08,5.32135211268,50703,18.6419094567,3.1721971831,101793.265672
698,4503,Pottawattamie,TREYNOR,78.0,6725.13,93.4045833333,473.35,6.57430555556,51575,16.9497486772,4.72902777778,35260.8212129
699,4504,Warren,INDIANOLA,91.0,20646.85,120.039825581,1644.15,9.55901162791,50125,13.9885714286,3.31046511628,80296.7566324
700,4505,Polk,JOHNSTON,77.0,9687.74,167.03,548.1,9.45,50131,17.5149343186,4.82086206897,50126.3190094
701,4506,Johnson,TIFFIN,52.0,10358.93,109.041368421,796.58,8.38505263158,52340,15.4003508772,3.53926315789,38753.1711647
702,4507,Clay,SPENCER,21.0,5169.62,172.320666667,438.6,14.62,51301,17.0057619048,3.64566666667,20975.460683
703,4508,Clay,SPENCER,21.0,8175.32,138.564745763,721.2,12.2237288136,51301,14.6684342211,3.61423728814,32177.8204181
704,4509,Story,AMES,85.0,169549.28,130.22218126,12182.87,9.35704301075,50010,19.3565236632,5.41157450077,731176.296689
705,4510,Mills,MALVERN,65.0,7851.66,130.861,556.5,9.275,51551,14.3058095238,3.61616666667,29418.4122603
706,4511,Polk,DES MOINES,77.0,16388.07,73.8201351351,950.72,4.28252252252,50317,21.313976834,4.45671171171,72039.5511898
707,4512,Black Hawk,WATERLOO,7.0,6620.78,97.3644117647,602.25,8.85661764706,50701,13.3506792717,4.06573529412,28826.4747162
708,4513,Polk,POLK CITY,77.0,3092.72,140.578181818,193.5,8.79545454545,50226,17.4415584416,4.63772727273,20017.5885616
709,4514,Webster,FORT DODGE,94.0,12932.86,111.490172414,1089.15,9.38922413793,50501,15.1516297209,3.54422413793,50152.3238654
710,4515,Wright,DOWS,99.0,7645.98,191.1495,538.2,13.455,50071,16.3185238095,4.317,38043.8082986
711,4516,Pottawattamie,OAKLAND,78.0,14883.32,140.408679245,935.9,8.82924528302,51560,17.0106884546,3.55547169811,58236.9930729
712,4517,Linn,CEDAR RAPIDS,57.0,8466.38,111.399736842,796.8,10.4842105263,52402,15.6720551378,3.75144736842,34038.6181275
713,4518,Polk,WEST DES MOINES,77.0,11694.74,129.941555556,693.0,7.7,50266,17.9374179894,4.65911111111,56030.3317121
714,4519,Polk,WEST DES MOINES,77.0,8804.8,157.228571429,478.5,8.54464285714,50266,20.2191496599,4.2525,39891.5646891
715,4520,Story,HUXLEY,85.0,9579.4,124.407792208,710.4,9.22597402597,50124,14.7772866419,3.84428571429,39125.5318248
716,4521,Greene,GRAND JUNCTION,37.0,7393.92,110.357014925,565.82,8.44507462687,50107,16.4853731343,3.7976119403,29027.3370383
717,4522,Jasper,MONROE,50.0,6692.95,60.845,473.59,4.30536363636,50170,17.2111774892,3.88536363636,25021.3707696
718,4523,Audubon,EXIRA,5.0,9184.26,166.986545455,852.0,15.4909090909,50076,13.134008658,3.66545454545,38550.4578112
719,4524,Floyd,NORA SPRINGS,34.0,7789.42,116.26,690.18,10.3011940299,50458,17.5652523099,4.14223880597,35269.5360696
720,4525,Plymouth,AKRON,75.0,8496.76,76.5473873874,695.8,6.26846846847,51001,15.3301158301,3.87018018018,33414.3304071
721,4527,Humboldt,GILMORE CITY,46.0,3711.78,119.73483871,346.8,11.1870967742,50541,12.2958832565,2.97741935484,6034.72146559
722,4528,Marshall,MARSHALLTOWN,64.0,6043.48,107.919285714,400.27,7.14767857143,50158,18.2812414966,3.94892857143,24322.0323106
723,4529,Winnebago,BUFFALO CENTER,95.0,3246.0,170.842105263,306.0,16.1052631579,50424,13.7086716792,4.32947368421,20875.3520674
724,4530,Linn,ELY,57.0,8396.03,129.169692308,562.35,8.65153846154,52227,18.0900311355,5.09215384615,47190.2428728
725,4531,Union,AFTON,88.0,6970.36,211.223030303,586.8,17.7818181818,50830,16.1394805195,4.72060606061,41579.6813662
726,4532,Buena Vista,SIOUX RAPIDS,11.0,2547.2,127.36,210.0,10.5,50585,14.4268095238,3.5965,7405.26638914
727,4533,Mitchell,ST ANSGAR,66.0,8973.0,149.55,881.55,14.6925,50472,13.9027242063,3.9065,39851.8059491
728,4535,Dubuque,DUBUQUE,31.0,8583.87,122.626714286,683.0,9.75714285714,52001,14.5162789116,3.90885714286,35868.0771511
729,4536,Dubuque,DUBUQUE,31.0,7318.7,77.0389473684,632.24,6.65515789474,52003,15.2248822055,3.30936842105,22634.0533853
730,4537,Decatur,LEON,27.0,6588.02,131.7604,477.6,9.552,50144,15.4634095238,4.6954,35750.4479482
731,4538,Butler,CLARKSVILLE,12.0,8384.64,147.098947368,759.0,13.3157894737,50619,12.0425146199,4.1550877193,39364.7177616
732,4539,Greene,SCRANTON,37.0,6682.04,98.2652941176,456.57,6.71426470588,51462,17.4315546218,3.80808823529,25304.5350269
733,4540,Jackson,BELLEVUE,49.0,4683.5,106.443181818,324.37,7.37204545455,52031,16.5578354978,4.13636363636,20692.0827646
734,4541,Clinton,DELMAR,23.0,1420.02,83.5305882353,138.75,8.16176470588,52037,11.0275630252,3.64294117647,2022.55493686
735,4542,Pocahontas,LAURENS,76.0,3262.2,120.822222222,263.7,9.76666666667,50554,12.7665079365,3.26259259259,6503.43343959
736,4543,Linn,MARION,57.0,9961.58,150.933030303,821.7,12.45,52302,14.8748340548,3.11333333333,34473.3377995
737,4544,Clarke,OSCEOLA,20.0,4177.02,112.892432432,405.0,10.9459459459,50213,12.6018532819,3.06297297297,8797.15050786
738,4545,Pottawattamie,COUNCIL BLUFFS,78.0,21178.72,93.2983259912,1310.12,5.77145374449,51503,20.4823914412,5.25621145374,101518.740524
739,4546,Carroll,GLIDDEN,14.0,7551.62,98.072987013,613.3,7.96493506494,51443,16.6216759431,3.99701298701,31593.6547926
740,4547,Franklin,HAMPTON,35.0,17762.97,123.353958333,1813.75,12.5954861111,50441,13.0276587302,4.134375,78384.3127529
741,4548,Linn,WALKER,57.0,5689.86,162.567428571,448.5,12.8142857143,52352,14.8864081633,3.99828571429,26073.8387541
742,4549,Story,COLO,85.0,7243.5,127.078947368,650.1,11.4052631579,50056,11.877176274,3.56385964912,27313.7817517
743,4551,Benton,URBANA,6.0,7035.21,106.594090909,585.85,8.87651515152,52345,14.3405555556,3.75454545455,27259.8483027
744,4552,Scott,BUFFALO,82.0,8968.3,121.193243243,741.75,10.0236486486,52728,14.8890862291,3.67310810811,35099.2512648
